"","site","region","probe","p.slp","p.rsq","p.se","r.slp","r.rsq","r.se","tempO2_PS","tempO2_R","parPS","parR","tempHOBO_PS","tempHOBO_R","successful","location","description","dominant","chamber"
"mins71","site47_swap","GBR","P3",10.5,0.99,0.219172587426796,NA,NA,NA,26.5923076923077,NA,924.457692307692,NA,27.3964615384615,NA,"y","casuarina","sarmentosa L","Acropora","bl 2"
"mins72","site48","GBR","P1",16.3,0.985,0.425795461633773,-22.9,0.896,1.62681336948355,28.2704,28.2768,15899.662,6.46,29.36624,28.41452,"y","casuarina","acro_algae","Acropora","wh 3"
"mins73","site48","GBR","P3",16.1,0.949,0.780108704568891,-23.6,0.985,0.61129914755409,28.2032,28.1904,15899.662,6.46,29.36624,28.41452,"y","casuarina","acro_algae","Acropora","wh 3"
"mins74","site49","GBR","P2",9,0.921,0.539990593428793,-12.4,0.992,0.244327288743482,28.0338461538462,28.2091666666667,6140.40961538462,0,29.9828269230769,28.4519583333333,"y","casuarina","pori_algae","Porites","wh 4"
"mins75","site49","GBR","P4",17.6,0.338,5.01921425614534,-12.9,0.983,0.358683474860139,28.0861538461538,28.2441666666667,6140.40961538462,0,29.9828269230769,28.4519583333333,"y","casuarina","pori_algae","Porites","wh 4"
"mins76","site48_pump","GBR","P1",13.8,0.992,0.251999975498312,NA,NA,NA,28.1776,NA,6463.538,NA,29.45822,NA,"y","casuarina","acro_algae","Acropora","wh 3"
"mins77","site48_pump","GBR","P3",15.1,0.974,0.517655855038084,NA,NA,NA,28.0248,NA,6463.538,NA,29.45822,NA,"y","casuarina","acro_algae","Acropora","wh 3"
"mins78","site49_pump","GBR","P2",12,0.984,0.322183826902392,NA,NA,NA,28.2152,NA,5707.48,NA,29.31228,NA,"y","casuarina","pori_algae","Porites","wh 4"
"mins79","site49_pump","GBR","P4",12,0.861,1.00789653014953,NA,NA,NA,28.2792,NA,5707.48,NA,29.31228,NA,"y","casuarina","pori_algae","Porites","wh 4"
"mins80","site50","GBR","P3",27.3,0.932,1.34779037209841,-15.3,0.994,0.254871761978668,26.8875,27.275,8387.8140625,295.78125,28.652546875,27.6407916666667,"y","casuarina","soft x2 again","Soft coral","wh 3"
"mins81","site51","GBR","P2",18.9,0.905,1.2793063144754,-5.8,0.864,0.545232320600924,26.84,26.893,6606.476,4.31,28.62724,27.0652,"y","casuarina","seagrass 2","Seagrass","bl 1"
"mins82","site52","GBR","P1",13.5,0.989,0.297376946707456,-7.8,0.974,0.262933174842937,27.3430769230769,27.4115384615385,8876.13076923077,115.503846153846,28.9492692307692,27.6276153846154,"y","casuarina","baby pver","Pocillopora","wh 4"
"mins83","site52","GBR","P4",13.3,0.981,0.372238985495292,-7.8,0.964,0.308801419842546,27.2923076923077,27.3838461538462,8876.13076923077,115.503846153846,28.9492692307692,27.6276153846154,"y","casuarina","baby pver","Pocillopora","wh 4"
"mins84","site53","GBR","P2",11.6,0.941,0.604772631393856,-4.4,0.876,0.363584958191097,27.292,27.395652173913,35106.016,479.226086956522,28.92952,27.6570434782609,"y","casuarina","seagrass 3","Seagrass","bl 1"
